,iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date,Year
4,BRN,agriculture,other-agricultural-soil-emissions,2015-01-01,2015-12-31,n2o,238.7,tonnes,,2023-10-23 11:43:08.395355,,2015
5,BRN,agriculture,other-agricultural-soil-emissions,2016-01-01,2016-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2016
6,BRN,agriculture,other-agricultural-soil-emissions,2016-01-01,2016-12-31,co2,244242.8,tonnes,,2023-10-23 11:43:08.395355,,2016
7,BRN,agriculture,other-agricultural-soil-emissions,2016-01-01,2016-12-31,co2e_100yr,309247.3,tonnes,,2023-10-23 11:43:08.395355,,2016
8,BRN,agriculture,other-agricultural-soil-emissions,2016-01-01,2016-12-31,co2e_20yr,309002.0,tonnes,,2023-10-23 11:43:08.395355,,2016
9,BRN,agriculture,other-agricultural-soil-emissions,2016-01-01,2016-12-31,n2o,245.3,tonnes,,2023-10-23 11:43:08.395355,,2016
10,BRN,agriculture,other-agricultural-soil-emissions,2017-01-01,2017-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2017
11,BRN,agriculture,other-agricultural-soil-emissions,2017-01-01,2017-12-31,co2,240858.8,tonnes,,2023-10-23 11:43:08.395355,,2017
12,BRN,agriculture,other-agricultural-soil-emissions,2017-01-01,2017-12-31,co2e_100yr,303133.8,tonnes,,2023-10-23 11:43:08.395355,,2017
13,BRN,agriculture,other-agricultural-soil-emissions,2017-01-01,2017-12-31,co2e_20yr,302898.8,tonnes,,2023-10-23 11:43:08.395355,,2017
14,BRN,agriculture,other-agricultural-soil-emissions,2017-01-01,2017-12-31,n2o,235.0,tonnes,,2023-10-23 11:43:08.395355,,2017
15,BRN,agriculture,other-agricultural-soil-emissions,2018-01-01,2018-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2018
16,BRN,agriculture,other-agricultural-soil-emissions,2018-01-01,2018-12-31,co2,243165.0,tonnes,,2023-10-23 11:43:08.395355,,2018
17,BRN,agriculture,other-agricultural-soil-emissions,2018-01-01,2018-12-31,co2e_100yr,308991.0,tonnes,,2023-10-23 11:43:08.395355,,2018
18,BRN,agriculture,other-agricultural-soil-emissions,2018-01-01,2018-12-31,co2e_20yr,308742.6,tonnes,,2023-10-23 11:43:08.395355,,2018
19,BRN,agriculture,other-agricultural-soil-emissions,2018-01-01,2018-12-31,n2o,248.40000000000003,tonnes,,2023-10-23 11:43:08.395355,,2018
20,BRN,agriculture,other-agricultural-soil-emissions,2019-01-01,2019-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2019
21,BRN,agriculture,other-agricultural-soil-emissions,2019-01-01,2019-12-31,co2,238596.0,tonnes,,2023-10-23 11:43:08.395355,,2019
22,BRN,agriculture,other-agricultural-soil-emissions,2019-01-01,2019-12-31,co2e_100yr,300500.0,tonnes,,2023-10-23 11:43:08.395355,,2019
23,BRN,agriculture,other-agricultural-soil-emissions,2019-01-01,2019-12-31,co2e_20yr,300266.4,tonnes,,2023-10-23 11:43:08.395355,,2019
24,BRN,agriculture,other-agricultural-soil-emissions,2019-01-01,2019-12-31,n2o,233.6,tonnes,,2023-10-23 11:43:08.395355,,2019
25,BRN,agriculture,other-agricultural-soil-emissions,2020-01-01,2020-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2020
26,BRN,agriculture,other-agricultural-soil-emissions,2020-01-01,2020-12-31,co2,243292.5,tonnes,,2023-10-23 11:43:08.395355,,2020
27,BRN,agriculture,other-agricultural-soil-emissions,2020-01-01,2020-12-31,co2e_100yr,312325.0,tonnes,,2023-10-23 11:43:08.395355,,2020
28,BRN,agriculture,other-agricultural-soil-emissions,2020-01-01,2020-12-31,co2e_20yr,312064.5,tonnes,,2023-10-23 11:43:08.395355,,2020
29,BRN,agriculture,other-agricultural-soil-emissions,2020-01-01,2020-12-31,n2o,260.5,tonnes,,2023-10-23 11:43:08.395355,,2020
30,BRN,agriculture,other-agricultural-soil-emissions,2021-01-01,2021-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2021
31,BRN,agriculture,other-agricultural-soil-emissions,2021-01-01,2021-12-31,co2,243292.5,tonnes,,2023-10-23 11:43:08.395355,,2021
32,BRN,agriculture,other-agricultural-soil-emissions,2021-01-01,2021-12-31,co2e_100yr,312325.0,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.181859,2021
33,BRN,agriculture,other-agricultural-soil-emissions,2021-01-01,2021-12-31,co2e_20yr,312064.5,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.181859,2021
34,BRN,agriculture,other-agricultural-soil-emissions,2021-01-01,2021-12-31,n2o,260.5,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:50.181859,2021
35,BRN,agriculture,other-agricultural-soil-emissions,2022-01-01,2022-12-31,ch4,0.0,tonnes,,2023-10-23 11:43:08.395355,,2022
36,BRN,agriculture,other-agricultural-soil-emissions,2022-01-01,2022-12-31,co2,243292.5,tonnes,,2023-10-23 11:43:08.395355,,2022
37,BRN,agriculture,other-agricultural-soil-emissions,2022-01-01,2022-12-31,co2e_100yr,312325.0,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.252282,2022
38,BRN,agriculture,other-agricultural-soil-emissions,2022-01-01,2022-12-31,co2e_20yr,312064.5,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.252282,2022
39,BRN,agriculture,other-agricultural-soil-emissions,2022-01-01,2022-12-31,n2o,260.5,tonnes,,2023-10-23 11:43:08.395355,2023-10-23 17:49:43.252282,2022
0,BRN,agriculture,manure-management-other,2015-01-01,2015-12-31,ch4,362.7000000000001,tonnes,,2023-10-23 11:43:08.395355,,2015
1,BRN,agriculture,manure-management-other,2015-01-01,2015-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2015
2,BRN,agriculture,manure-management-other,2015-01-01,2015-12-31,co2e_100yr,18291.1,tonnes,,2023-10-23 11:43:08.395355,,2015
3,BRN,agriculture,manure-management-other,2015-01-01,2015-12-31,co2e_20yr,38571.60000000001,tonnes,,2023-10-23 11:43:08.395355,,2015
4,BRN,agriculture,manure-management-other,2015-01-01,2015-12-31,n2o,30.7,tonnes,,2023-10-23 11:43:08.395355,,2015
5,BRN,agriculture,manure-management-other,2016-01-01,2016-12-31,ch4,371.8,tonnes,,2023-10-23 11:43:08.395355,,2016
6,BRN,agriculture,manure-management-other,2016-01-01,2016-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2016
7,BRN,agriculture,manure-management-other,2016-01-01,2016-12-31,co2e_100yr,18784.4,tonnes,,2023-10-23 11:43:08.395355,,2016
8,BRN,agriculture,manure-management-other,2016-01-01,2016-12-31,co2e_20yr,39573.600000000006,tonnes,,2023-10-23 11:43:08.395355,,2016
9,BRN,agriculture,manure-management-other,2016-01-01,2016-12-31,n2o,31.60000000000001,tonnes,,2023-10-23 11:43:08.395355,,2016
10,BRN,agriculture,manure-management-other,2017-01-01,2017-12-31,ch4,362.7000000000001,tonnes,,2023-10-23 11:43:08.395355,,2017
11,BRN,agriculture,manure-management-other,2017-01-01,2017-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2017
12,BRN,agriculture,manure-management-other,2017-01-01,2017-12-31,co2e_100yr,18132.1,tonnes,,2023-10-23 11:43:08.395355,,2017
13,BRN,agriculture,manure-management-other,2017-01-01,2017-12-31,co2e_20yr,38413.2,tonnes,,2023-10-23 11:43:08.395355,,2017
14,BRN,agriculture,manure-management-other,2017-01-01,2017-12-31,n2o,30.09999999999999,tonnes,,2023-10-23 11:43:08.395355,,2017
15,BRN,agriculture,manure-management-other,2018-01-01,2018-12-31,ch4,388.2999999999999,tonnes,,2023-10-23 11:43:08.395355,,2018
16,BRN,agriculture,manure-management-other,2018-01-01,2018-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2018
17,BRN,agriculture,manure-management-other,2018-01-01,2018-12-31,co2e_100yr,19299.4,tonnes,,2023-10-23 11:43:08.395355,,2018
18,BRN,agriculture,manure-management-other,2018-01-01,2018-12-31,co2e_20yr,41012.4,tonnes,,2023-10-23 11:43:08.395355,,2018
19,BRN,agriculture,manure-management-other,2018-01-01,2018-12-31,n2o,31.800000000000008,tonnes,,2023-10-23 11:43:08.395355,,2018
20,BRN,agriculture,manure-management-other,2019-01-01,2019-12-31,ch4,356.40000000000003,tonnes,,2023-10-23 11:43:08.395355,,2019
21,BRN,agriculture,manure-management-other,2019-01-01,2019-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2019
22,BRN,agriculture,manure-management-other,2019-01-01,2019-12-31,co2e_100yr,17876.2,tonnes,,2023-10-23 11:43:08.395355,,2019
23,BRN,agriculture,manure-management-other,2019-01-01,2019-12-31,co2e_20yr,37804.8,tonnes,,2023-10-23 11:43:08.395355,,2019
24,BRN,agriculture,manure-management-other,2019-01-01,2019-12-31,n2o,29.8,tonnes,,2023-10-23 11:43:08.395355,,2019
25,BRN,agriculture,manure-management-other,2020-01-01,2020-12-31,ch4,405.5,tonnes,,2023-10-23 11:43:08.395355,,2020
26,BRN,agriculture,manure-management-other,2020-01-01,2020-12-31,co2,0.0,tonnes,,2023-10-23 11:43:08.395355,,2020
27,BRN,agriculture,manure-management-other,2020-01-01,2020-12-31,co2e_100yr,20258.0,tonnes,,2023-10-23 11:43:08.395355,,2020
